user_id,signup_date,loyalty_status,age,city,avg_rating_given,churn_prob,referred_by,recency_days,total_trips,avg_fare,avg_tip,avg_surge_multiplier,total_sessions,avg_time_on_app,avg_pages_visited,session_recency_days
R00000,2025-01-24 00:00:00+00:00,Bronze,34.72962934795992,Nairobi,5.0,0.1424305968233785,R00001,116,25,14.642000000000001,0.1612,1.0959999999999999,4.0,92.0,3.0,22.0
R00001,2024-09-09 00:00:00+00:00,Bronze,34.57102046351952,Nairobi,4.7,0.6741608467591605,R00002,253,14,12.895,0.054285714285714284,1.0714285714285714,3.0,174.66666666666666,2.6666666666666665,22.0
R00002,2024-09-07 00:00:00+00:00,Bronze,47.1339597032023,Lagos,4.2,0.5103793329192093,R00002,255,24,15.79125,0.21708333333333332,1.1916666666666667,3.0,191.0,3.0,22.0
R00003,2025-03-17 00:00:00+00:00,Bronze,41.6586284419388,Nairobi,4.9,0.2447792787846616,R00002,64,9,13.496666666666666,0.09666666666666666,1.1555555555555557,3.0,75.33333333333333,1.6666666666666667,22.0
R00004,2024-08-20 00:00:00+00:00,Silver,40.68170878242015,Lagos,3.9,0.2699597126742522,R00002,273,16,16.776875,0.58625,1.2625,2.0,17.0,2.5,22.0
R00005,2023-07-10 00:00:00+00:00,Bronze,40.41915203474623,Lagos,5.0,0.3274520895837147,R00002,680,19,14.443157894736842,0.19105263157894736,1.068421052631579,6.0,30.333333333333332,1.6666666666666667,22.0
R00006,2023-08-17 00:00:00+00:00,Gold,44.00528102999667,Lagos,4.4,0.1204522174907009,R00000,642,14,14.215,1.1164285714285715,1.1285714285714286,5.0,52.0,3.0,22.0
R00007,2023-05-13 00:00:00+00:00,Bronze,27.241087378707377,Nairobi,4.9,0.2842457607909989,R00002,738,19,19.267894736842106,0.9510526315789474,1.1842105263157894,5.0,246.8,2.8,22.0
R00008,2025-04-02 00:00:00+00:00,Bronze,29.5601678170732,Nairobi,5.0,0.0398786957413594,R00007,48,19,14.325263157894737,0.3731578947368421,1.068421052631579,10.0,102.1,1.8,22.0
R00009,2023-07-01 00:00:00+00:00,Bronze,23.95051476227571,Lagos,4.6,0.2248721592852733,R00002,689,14,18.112142857142857,0.20785714285714288,1.3785714285714286,3.0,22.0,3.3333333333333335,22.0
R00010,2024-04-30 00:00:00+00:00,Bronze,40.76849512576241,Nairobi,4.3,0.189223538715668,R00002,385,31,14.43741935483871,0.4106451612903226,1.0903225806451613,4.0,87.75,4.0,22.0
R00011,2025-04-15 00:00:00+00:00,Gold,36.61582193099215,Cairo,4.0,0.236666768267843,R00008,35,18,17.343333333333334,0.3344444444444445,1.15,7.0,56.0,3.4285714285714284,22.0
