user_id,signup_date,loyalty_status,age,city,avg_rating_given,churn_prob,referred_by
R00000,2025-01-24,Bronze,34.72962935,Nairobi,5,0.1424305968,R00001
R00001,2024-09-09,Bronze,34.57102046,Nairobi,4.7,0.6741608468,
R00002,2024-09-07,Bronze,47.1339597,Lagos,4.2,0.5103793329,
R00003,2025-03-17,Bronze,41.65862844,Nairobi,4.9,0.2447792788,
R00004,2024-08-20,Silver,40.68170878,Lagos,3.9,0.2699597127,R00002
R00005,2023-07-10,Bronze,40.41915203,Lagos,5,0.3274520896,
R00006,2023-08-17,Gold,44.00528103,Lagos,4.4,0.1204522175,R00000
R00007,2023-05-13,Bronze,27.24108738,Nairobi,4.9,0.2842457608,
R00008,2025-04-02,Bronze,29.56016782,Nairobi,5,0.03987869574,R00007
R00009,2023-07-01,Bronze,23.95051476,Lagos,4.6,0.2248721593,
R00010,2024-04-30,Bronze,40.76849513,Nairobi,4.3,0.1892235387,
R00011,2025-04-15,Gold,36.61582193,Cairo,4,0.2366667683,R00008
R00012,2023-10-28,Gold,37.72034838,Cairo,4.6,0.05711718718,
R00013,2023-07-02,Bronze,39.72877066,Cairo,4.2,0.1737535185,
R00014,2023-09-03,Bronze,44.55063732,Nairobi,5,0.287618386,
R00015,2025-01-15,Gold,18,Nairobi,5,0.3570941784,R00014
R00016,2024-05-04,Gold,32.22729535,Nairobi,3.9,0.04904312329,R00013
R00017,2023-05-02,Gold,25.25391142,Lagos,4.2,0.4255213656,
R00018,2025-04-19,Gold,51.02851521,Nairobi,4.4,0.1704961707,
R00019,2025-02-27,Bronze,33.9126806,Lagos,4.5,0.3327413628,
R00020,2023-07-19,Bronze,18,Cairo,4.9,0.2470390089,R00001
R00021,2024-08-14,Bronze,43.13473171,Cairo,4.9,0.2194934384,
R00022,2025-01-30,Bronze,45.04502353,Lagos,4.7,0.1454346823,
R00023,2024-09-15,Bronze,50.99949076,Lagos,4.6,0.2275797909,R00001
R00024,2025-04-16,Gold,40.61549757,Nairobi,4.4,0.3819486161,R00015
R00025,2023-10-24,Bronze,45.73577084,Cairo,3.8,0.4325432239,R00021
R00026,2024-08-08,Bronze,18.76195553,Lagos,4.7,0.2223838627,
