user_id,recency,frequency,monetary
R00000,48,25,366.05
R00001,28,14,180.53
R00002,37,24,378.99
R00003,84,9,121.47
R00004,35,16,268.43
R00005,25,19,274.42
R00006,90,14,199.01
R00007,42,19,366.09000000000003
R00008,29,19,272.18
R00009,102,14,253.57
R00010,23,31,447.56
R00011,43,18,312.18
R00012,44,23,328.94
R00013,70,14,226.87
R00014,27,29,427.76
R00015,29,26,405.48
R00016,44,20,308.93
R00017,26,19,287.47
R00018,35,24,319.6
R00019,26,26,461.88
R00020,26,19,318.11
R00021,33,15,200.27
R00022,37,18,259.07
R00023,35,22,310.88
R00024,84,20,322.29
R00025,25,13,206.02
R00026,51,18,282.12
R00027,29,24,413.08
R00028,80,18,283.57
R00029,29,14,234.43
R00030,41,16,234.1
R00031,37,25,419.52
R00032,25,19,284.47
R00033,28,22,345.74
R00034,31,22,325.36
R00035,28,11,181.79
R00036,36,24,339.99
R00037,52,19,285.91
R00038,44,18,237.01
R00039,29,14,172.69
R00040,31,15,195.9
R00041,23,17,245.22
R00042,43,17,227.24
R00043,25,21,354.73
R00044,84,18,310.09000000000003
R00045,52,18,299.44
R00046,32,29,426.03
R00047,30,21,344.63
R00048,23,21,313.11
R00049,26,18,267.75
R00050,119,13,207.6
R00051,39,22,303.25
R00052,46,22,344.53
R00053,25,19,283.79
R00054,27,15,249.13
R00055,33,18,309.3
R00056,63,23,348.64
R00057,44,26,384.87
R00058,29,16,252.76
R00059,125,18,259.42
R00060,30,19,271.8
R00061,72,26,395.84000000000003
R00062,48,22,344.3
R00063,25,18,284.54
R00064,39,13,240.39
R00065,30,18,315.37
R00066,66,19,269.15
R00067,66,15,189.86
R00068,27,26,386.43
R00069,24,25,331.09
R00070,40,18,296.24
R00071,26,32,439.81
R00072,44,20,307.01
R00073,35,16,294.43
R00074,29,21,316.65
R00075,39,21,346.8
R00076,57,19,278.36
R00077,47,13,226.78
R00078,23,19,327.38
R00079,35,31,517.05
R00080,96,20,326.02
R00081,71,25,382.93
R00082,23,21,370.72
R00083,41,17,286.36
R00084,33,20,345.95
R00085,76,19,273.57
R00086,68,24,356.04
R00087,28,20,315.32
R00088,28,21,318.18
R00089,38,30,496.09
R00090,46,24,406.65
R00091,155,15,247.52
R00092,30,22,368.51
R00093,23,26,368.76
R00094,33,20,264.42
R00095,107,22,364.74
R00096,36,23,357.83
R00097,55,16,208.87
R00098,25,24,357.52
R00099,37,26,395.9
R00100,44,23,383.65
R00101,25,28,401.03
R00102,40,12,171.6
R00103,48,22,332.85
R00104,43,17,284.03
R00105,42,24,383.98
R00106,32,21,333.96999999999997
R00107,49,13,228.5
R00108,32,20,301.90999999999997
R00109,24,21,300.33
R00110,66,12,219.6
R00111,26,22,320.63
R00112,43,18,288.27
R00113,36,21,365.87
R00114,26,28,499.38
R00115,40,18,264.76
R00116,33,21,360.78
R00117,24,25,346.5
R00118,58,16,265.4
R00119,27,17,251.88
R00120,25,14,207.7
R00121,30,9,126.46000000000001
R00122,81,18,276.9
R00123,40,23,311.43
R00124,27,21,346.26
R00125,30,21,347.36
R00126,30,26,413.12
R00127,30,16,242.22
R00128,45,19,302.01
R00129,36,18,307.89
R00130,25,19,287.0
R00131,24,30,463.41
R00132,26,16,222.95
R00133,33,24,401.13
R00134,69,16,238.48
R00135,127,12,176.37
R00136,50,18,274.63
R00137,29,21,319.67
R00138,56,19,303.34
R00139,60,23,343.67
R00140,41,19,312.18
R00141,71,24,337.09000000000003
R00142,24,24,361.8
R00143,40,19,326.51
R00144,29,25,416.8
R00145,28,21,402.64
R00146,26,15,254.68
R00147,34,23,404.86
R00148,39,14,215.59
R00149,80,22,334.41
R00150,80,13,164.34
R00151,23,23,384.85
R00152,54,31,521.06
R00153,31,20,287.7
R00154,24,23,351.69
R00155,46,17,274.15999999999997
R00156,63,13,216.95000000000002
R00157,32,26,367.5
R00158,26,25,387.24
R00159,38,17,269.11
R00160,23,18,290.68
R00161,24,19,298.01
R00162,41,23,372.39
R00163,29,16,254.07999999999998
R00164,27,24,395.06
R00165,33,24,361.35
R00166,41,23,365.87
R00167,28,19,325.61
R00168,31,17,276.27
R00169,29,20,268.39
R00170,35,14,206.54
R00171,24,20,300.03
R00172,33,26,377.28999999999996
R00173,112,19,304.13
R00174,24,23,383.27
R00175,47,11,155.68
R00176,35,26,381.63
R00177,94,21,339.64
R00178,26,23,356.15
R00179,57,25,380.19
R00180,30,14,205.14000000000001
R00181,28,18,262.74
R00182,42,17,223.07
R00183,35,24,385.74
R00184,39,19,313.37
R00185,26,19,289.74
R00186,24,10,131.33
R00187,98,18,292.28000000000003
R00188,31,14,219.67000000000002
R00189,31,31,462.11
R00190,65,17,297.7
R00191,28,16,232.01
R00192,24,24,317.24
R00193,26,17,321.95
R00194,43,22,368.93
R00195,31,20,322.01
R00196,44,16,265.72
R00197,87,6,99.73
R00198,33,22,338.21999999999997
R00199,65,15,223.86
R00200,29,25,340.05
R00201,47,11,165.96
R00202,60,7,111.2
R00203,26,19,275.64
R00204,48,18,262.23
R00205,32,23,364.0
R00206,33,15,221.34
R00207,24,23,366.51
R00208,78,14,235.34
R00209,51,18,264.29
R00210,47,20,319.67
R00211,26,15,214.77
R00212,26,21,316.32
R00213,28,25,351.69
R00214,32,17,245.51
R00215,37,22,331.39
R00216,32,19,311.96
R00217,33,21,284.48
R00218,29,20,301.34
R00219,29,21,364.69
R00220,29,23,357.36
R00221,25,24,428.40999999999997
R00222,45,15,221.03
R00223,58,22,334.06
R00224,45,17,296.57
R00225,34,13,216.7
R00226,55,22,312.66
R00227,29,13,171.8
R00228,46,18,241.02
R00229,24,21,353.51
R00230,41,24,388.6
R00231,35,22,312.44
R00232,29,14,210.96
R00233,25,25,408.9
R00234,37,14,212.26999999999998
R00235,31,27,409.18
R00236,27,16,273.74
R00237,31,15,271.13
R00238,23,15,203.47
R00239,39,14,225.81
R00240,41,14,231.58
R00241,38,29,485.98
R00242,46,17,238.34
R00243,48,16,261.08
R00244,49,15,205.35
R00245,31,21,289.15999999999997
R00246,38,24,312.98
R00247,93,18,285.47
R00248,63,25,392.49
R00249,28,23,319.32
R00250,24,21,333.29
R00251,25,19,305.95
R00252,32,27,363.82
R00253,29,21,340.37
R00254,33,26,399.61
R00255,29,15,221.4
R00256,46,15,216.03
R00257,26,21,359.34
R00258,58,22,311.73
R00259,43,18,243.82999999999998
R00260,36,18,249.66
R00261,27,13,198.07
R00262,32,22,331.95
R00263,29,23,300.86
R00264,75,14,200.99
R00265,29,20,277.81
R00266,46,20,315.79
R00267,46,25,386.51
R00268,40,20,302.25
R00269,33,25,447.42
R00270,23,25,401.63
R00271,34,21,274.64
R00272,24,29,434.36
R00273,41,22,387.96
R00274,53,18,253.33
R00275,30,14,184.42
R00276,49,20,273.06
R00277,27,17,257.66
R00278,39,23,364.87
R00279,42,18,267.08
R00280,74,24,376.36
R00281,25,20,319.29
R00282,51,21,319.62
R00283,68,17,270.61
R00284,33,19,357.21999999999997
R00285,34,19,275.33
R00286,94,18,257.77
R00287,37,20,296.67
R00288,83,19,306.38
R00289,35,18,257.71
R00290,27,22,366.76
R00291,38,22,323.47
R00292,84,15,239.16
R00293,35,23,366.48
R00294,33,19,287.89
R00295,50,18,277.71000000000004
R00296,23,14,202.03
R00297,72,19,293.51
R00298,60,16,180.84
R00299,27,17,235.34
R00300,45,23,330.04
R00301,36,16,260.65
R00302,52,17,250.5
R00303,28,21,337.38
R00304,39,20,336.34999999999997
R00305,36,20,314.63
R00306,24,24,342.05
R00307,29,23,372.45
R00308,33,25,397.05
R00309,32,20,281.52
R00310,32,24,366.78000000000003
R00311,48,24,361.46000000000004
R00312,27,22,379.43
R00313,33,21,312.96
R00314,116,25,405.91
R00315,39,19,364.76
R00316,44,12,175.21
R00317,52,15,266.87
R00318,40,22,372.01
R00319,48,21,321.71
R00320,51,21,383.96999999999997
R00321,26,21,324.19
R00322,46,20,309.46
R00323,24,23,341.06
R00324,31,21,406.06
R00325,27,21,380.97
R00326,72,19,273.38
R00327,44,13,202.2
R00328,104,18,251.75
R00329,37,22,318.42
R00330,58,12,182.61
R00331,44,19,285.5
R00332,37,20,306.5
R00333,35,22,288.91
R00334,54,16,241.44
R00335,38,22,344.4
R00336,34,19,267.67
R00337,30,26,457.46999999999997
R00338,36,28,426.41
R00339,23,19,324.27
R00340,57,27,484.93
R00341,46,13,204.56
R00342,39,12,167.41
R00343,38,19,284.76
R00344,26,19,278.01
R00345,54,14,208.23
R00346,33,15,204.06
R00347,26,18,272.81
R00348,34,18,253.79
R00349,49,21,295.23
R00350,37,18,258.78999999999996
R00351,27,14,228.76
R00352,34,25,401.05
R00353,26,14,205.9
R00354,34,19,261.49
R00355,32,29,464.45
R00356,105,11,176.82999999999998
R00357,64,21,312.4
R00358,48,22,393.02
R00359,73,16,272.01
R00360,35,21,342.53
R00361,37,20,283.75
R00362,104,19,276.28
R00363,35,18,292.85
R00364,54,13,211.39000000000001
R00365,41,22,277.46999999999997
R00366,44,23,376.9
R00367,29,22,364.81
R00368,39,18,292.56
R00369,33,19,280.19
R00370,53,25,345.32
R00371,46,15,261.4
